class_label,metric,n_images,observed_mean,standard_deviation,median,confidence_level,bootstrap_iterations,bootstrap_seed,bootstrap_method,ci_lower,ci_upper
dots,dice,13,0.8413829488032557,0.02831768519039337,0.8459258710430289,0.95,10000,20260622,image_level_within_class_percentile,0.8258944815625973,0.8552460636179616
dots,iou,13,0.7271318945080678,0.041502046531674,0.7329909317069256,0.95,10000,20260622,image_level_within_class_percentile,0.7047262101289872,0.747546828909251
dots,pixel_precision,13,0.8397928478793,0.028297087786792845,0.845002075741501,0.95,10000,20260622,image_level_within_class_percentile,0.8247451464400404,0.8541010722494429
dots,pixel_recall,13,0.8432072837267772,0.031640550573724883,0.8534025078275075,0.95,10000,20260622,image_level_within_class_percentile,0.8252303154833911,0.8584298994988391
dots,specificity,13,0.9539222754679177,0.023051136741003453,0.9585349448349219,0.95,10000,20260622,image_level_within_class_percentile,0.9413711217637108,0.9654810709862662
dots,pixel_accuracy,13,0.9308517566994072,0.030343728777902847,0.9373904532573263,0.95,10000,20260622,image_level_within_class_percentile,0.914502602594994,0.9461609553933891
irregular,dice,7,0.8555209667964948,0.0147586738742471,0.858979044834308,0.95,10000,20260622,image_level_within_class_percentile,0.8453121510135871,0.8652382754455562
irregular,iou,7,0.7477684424134817,0.022478606337075588,0.7528161870695638,0.95,10000,20260622,image_level_within_class_percentile,0.7320352548630283,0.7625750998962263
irregular,pixel_precision,7,0.8609958541506274,0.014853048058978021,0.8619720031786783,0.95,10000,20260622,image_level_within_class_percentile,0.8512804868628204,0.8712784512273846
irregular,pixel_recall,7,0.8501425094649824,0.015555741393584418,0.8560067990044314,0.95,10000,20260622,image_level_within_class_percentile,0.839143804266426,0.860131743839
irregular,specificity,7,0.9443175436413801,0.07751328684917337,0.9764170156767313,0.95,10000,20260622,image_level_within_class_percentile,0.8844229697387108,0.9779310840395807
irregular,pixel_accuracy,7,0.932362838030041,0.05867243560656488,0.9587417572625201,0.95,10000,20260622,image_level_within_class_percentile,0.8871363927012094,0.9606516599163474
lines,dice,20,0.8669548045401736,0.019383567038926967,0.8634794440731809,0.95,10000,20260622,image_level_within_class_percentile,0.8588760179077815,0.8754854153503105
lines,iou,20,0.7656481375338318,0.0303728343059011,0.7597598975569315,0.95,10000,20260622,image_level_within_class_percentile,0.7528876982705801,0.778827058702128
lines,pixel_precision,20,0.8731544799497797,0.018905422737784405,0.8714932237815277,0.95,10000,20260622,image_level_within_class_percentile,0.8652825712767438,0.8812940260110705
lines,pixel_recall,20,0.8608631599726815,0.020301021678813938,0.8580034996512971,0.95,10000,20260622,image_level_within_class_percentile,0.8521973001886076,0.8695920588151993
lines,specificity,20,0.9695251067495878,0.028745544171814276,0.9717905927093586,0.95,10000,20260622,image_level_within_class_percentile,0.9554692706605259,0.9794330728938154
lines,pixel_accuracy,20,0.9528479018043086,0.029738154287869512,0.9517830245267717,0.95,10000,20260622,image_level_within_class_percentile,0.9390656738022782,0.9646992295349389
mixed,dice,10,0.7996090523827925,0.15018953601652418,0.8489652883759162,0.95,10000,20260622,image_level_within_class_percentile,0.7003291258612965,0.8561635514882628
mixed,iou,10,0.6843515732459531,0.1621104663692872,0.7375831409019773,0.95,10000,20260622,image_level_within_class_percentile,0.5785283784830887,0.7490254024511722
mixed,pixel_precision,10,0.8495176104636333,0.025926382001059282,0.8550066535423514,0.95,10000,20260622,image_level_within_class_percentile,0.8331037176846845,0.8635988503310539
mixed,pixel_recall,10,0.7817639515330066,0.18999624892090675,0.843009220645605,0.95,10000,20260622,image_level_within_class_percentile,0.65797347357521,0.850100230324186
mixed,specificity,10,0.9568843824540123,0.014503054894506052,0.953049129003753,0.95,10000,20260622,image_level_within_class_percentile,0.9486483031993725,0.9655115784151704
mixed,pixel_accuracy,10,0.901522673557581,0.09910447035455625,0.9250793640056676,0.95,10000,20260622,image_level_within_class_percentile,0.8360158218598076,0.940938762897886
