relative_path,voronoi_median_ms,successful_voronoi_runs
dots/dot_01.png,14624.23040000067,3
dots/dots_02.png,21230.840800002625,3
dots/dots_03.png,17718.498300000647,3
dots/dots_04.png,11275.13370000088,3
dots/dots_05.png,18664.15039999993,3
dots/dots_06.png,16100.36879999825,3
dots/dots_07.png,15905.90549999979,3
dots/dots_08.png,14843.896500002302,3
dots/dots_09.png,17586.770900001284,3
dots/dots_10.png,13533.964800000833,3
dots/dots_11.png,11441.582899999048,3
dots/dots_13.png,8501.175299999886,3
dots/dots_14.png,8909.494299998187,3
lines/lines_18.png,7433.959699999832,3
mixed/Mixed_01.png,13223.800600000686,3
mixed/Mixed_03.png,2689.5781999992323,3
mixed/Mixed_04.png,6431.229899997561,3
mixed/mixed_06.jpeg,26537.207299999864,3
mixed/mixed_08.jpeg,17217.09270000065,3
mixed/mixed_09.png,12738.835999996809,3
mixed/mixed_10.png,9317.322400002013,3
mixed/mixed_11.png,13910.864299999956,3
