measurement,unit,n,mean,standard_deviation,median,q1,q3,minimum,maximum,throughput_images_per_second_from_median,notes
Cold model-ready time,ms,5,4940.611260000151,95.15287073752485,4914.216099999976,4902.920500000619,4981.274100000519,4825.493799999094,5079.151800000545,0.20349125468861756,"Fresh Python process; imports, model construction, weight loading, and device transfer. Interpreter launch overhead is not included."
Cold CNN model load,ms,5,479.234759999963,16.97966284659815,477.3685000000114,465.4764000006253,494.5793999995658,460.33580000039365,498.4136999992188,2.0948177351458592,Fresh-process CNN construction and weight loading.
Cold U-Net model load,ms,5,163.07640000013635,9.55921478187018,161.84360000079323,159.7552999992331,165.7417999995232,150.90430000054766,177.13700000058452,6.178804722553742,Fresh-process U-Net construction and checkpoint loading.
First CNN inference after cold start,ms,5,105.56590000014694,13.127939727709409,100.64319999946747,99.35620000032941,101.88910000033502,97.10540000014589,128.8356000004569,9.936091062339942,First image after model loading; not included in warm averages.
First U-Net total after cold start,ms,5,329.38284000119893,40.16235263735818,318.08300000011513,301.09770000308345,340.9369000019069,293.40849999971397,393.3881000011752,3.143833527725902,"First U-Net preprocessing, inference, resize, and mask save."
First combined pipeline after cold start,ms,5,435.02209999969637,51.61531750489561,418.792399999802,400.5156999992323,438.10599999960687,395.375399999466,522.3210000003746,2.3878179260188888,First CNN + U-Net pass after model loading.
Fresh-process wall time,ms,5,6526.610399999481,106.8876479579875,6530.133899999782,6477.387799999633,6581.621199999063,6380.188799999814,6663.720299999113,0.15313621670147273,"Diagnostic end-to-end subprocess time including interpreter launch, model readiness, first inference, and process exit."
Warm CNN per image,ms,50,72.07739400011633,9.000948098738228,69.41064999955415,66.65529999963837,75.6681750003736,60.459000000264496,95.61770000073011,14.407011027939133,Distribution of per-image medians after one discarded warm-up pass.
Warm U-Net preprocessing per image,ms,50,19.084489999986545,8.273440416593417,17.458200000874058,13.822124999933294,22.86850000018603,5.652999998346786,40.54600000017672,57.27967373211066,"Image opening, grayscale conversion, resize, and tensor creation."
Warm U-Net inference per image,ms,50,203.55258199990203,5.72953281084351,202.4586999996245,198.64362500038624,207.84967500003404,193.54650000059337,216.57989999948768,4.939278973943104,Forward pass and binary thresholding; CUDA synchronized when used.
Warm U-Net mask save per image,ms,50,35.62603000009403,3.803347212727762,34.04705000048125,32.60527500015087,39.52850000132457,28.79399999983434,43.206100001043524,29.371120258168187,Resize to original dimensions and PNG save.
Warm U-Net total per image,ms,50,258.67224000015995,11.346849138629342,256.1764000010953,251.5544000002592,264.22720000118716,240.5248000013671,292.7372000012838,3.903560203030897,Preprocessing + inference + resize/save.
Warm CNN + U-Net pipeline per image,ms,50,332.9373300000225,20.52897922157429,328.30904999991617,317.89084999991246,342.3867250007788,303.2355999985157,392.168499998661,3.0459105528777086,Combined classifier and segmentation path. Downstream Voronoi/color-wheel analysis is not included.
