metric,n_images,estimate,ci_lower,ci_upper,confidence_level,method,bootstrap_iterations,bootstrap_seed
accuracy,50,0.9,0.7863976856252035,0.9565242350681096,0.95,wilson,,
balanced_accuracy,50,0.8892857142857142,0.7803571428571429,0.975,0.95,class_stratified_percentile_bootstrap,10000,20260622
macro_precision,50,0.9007936507936508,0.8134920634920635,0.9772727272727273,0.95,class_stratified_percentile_bootstrap,10000,20260622
macro_recall,50,0.8892857142857142,0.7803571428571429,0.975,0.95,class_stratified_percentile_bootstrap,10000,20260622
macro_f1,50,0.8943242251971392,0.7953947368421053,0.974671669793621,0.95,class_stratified_percentile_bootstrap,10000,20260622
weighted_precision,50,0.9006349206349205,0.8185093167701863,0.980952380952381,0.95,class_stratified_percentile_bootstrap,10000,20260622
weighted_recall,50,0.9,0.82,0.98,0.95,class_stratified_percentile_bootstrap,10000,20260622
weighted_f1,50,0.8996405648267009,0.812342180774749,0.9794746716697935,0.95,class_stratified_percentile_bootstrap,10000,20260622
mcc,50,0.8594180458976465,0.7458912686274416,0.9723155521289301,0.95,class_stratified_percentile_bootstrap,10000,20260622
cohen_kappa,50,0.8589164785553047,0.73928157589803,0.971735443753533,0.95,class_stratified_percentile_bootstrap,10000,20260622
